OriginName,DestinationName,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:23:51,40.837264,-73.863453
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:23:39,40.902712,-73.848819
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:11,40.902599,-73.84857
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:20,40.84548,-73.866213
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:14,40.871068,-73.86718
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:20,40.837791,-73.863543
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:16,40.809604,-73.855378
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:01,40.84506,-73.86606
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:21,40.9029,-73.849232
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:25,40.871221,-73.867175
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:25,40.897924,-73.852097
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:25,40.854149,-73.867716
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:31,40.833566,-73.862747
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:25,40.855471,-73.867678
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:23,40.850668,-73.867811
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:34:11,40.902712,-73.848819
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:09,40.902599,-73.84857
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:17,40.856801,-73.867623
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:13,40.88086,-73.864282
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:31,40.853457,-73.867738
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:29,40.822544,-73.858393
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:26,40.857891,-73.867586
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:16,40.884039,-73.862548
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:26,40.902894,-73.849219
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:24,40.869096,-73.867243
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:24,40.849113,-73.867527
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:22,40.86434,-73.867392
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:16,40.861342,-73.867188
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:44:14,40.902712,-73.848819
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:54:14,40.902599,-73.84857
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:54:11,40.872552,-73.867118
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 08:54:26,40.896792,-73.855501
